,HSMmass,Amass,Neuhiggs,Hpmass,Hppmass,VevTriplet,LHT2,Kappa,rYx11,rYx12,rYx13,rYx21,rYx22,rYx23,rYx31,rYx32,rYx33,TotalDecaySMh,TotalDecayNH,TotalDecayA,TotalDecayHp,TotalDecayHpp
578,124.49096352747856,334.73795392438194,334.73795392438194,249.7982097563584,112.91055485419257,2.582e-08,-3.2818,6.761e-08,7.985981226823181e-05,-4.756931839803148e-05,-0.00018158553802999548,-4.756931839803148e-05,0.0008653324574547968,0.0005805828208347504,-0.00018158553802999548,0.0005805828208347504,0.0006435081687670376,0.005701794,0.1691599,0.1215508,5.008197,8.594804e-06
579,124.49096352747856,314.62471521199456,314.62471521199456,239.27144882377567,124.5509575323638,7.417999999999999e-08,-2.7588,1.716e-07,2.77969850736822e-05,-1.6557560003197264e-05,-6.320488800127371e-05,-1.6557560003197264e-05,0.0003011982212386474,0.00020208477263350305,-6.320488800127371e-05,0.00020208477263350305,0.0002239873404902253,0.005701611,0.0603992,0.02660881,2.29862,1.148735e-06
580,124.49096352747858,246.10067522569585,246.10067522569585,193.7230343726409,120.38141777925458,1.1580000000000002e-06,-1.5227,1.639e-06,1.78063933744883e-06,-1.0606561321564527e-06,-4.048824345366565e-06,-1.0606561321564527e-06,1.9294373101453245e-05,1.2945292257299872e-05,-4.048824345366565e-06,1.2945292257299872e-05,1.4348342761282306e-05,0.005700414,0.004906905,0.002490309,0.012571,4.555984e-09
581,124.49096343807531,216.8088338858453,216.8088334281987,169.307954988421,101.60854726776651,0.007716,-1.2123,0.008476000000000001,2.672343640183704e-10,-1.5918089697215825e-10,-6.076384904010476e-10,-1.5918089697215825e-10,2.895656305272533e-09,1.942800470963356e-09,-6.076384904010476e-10,1.942800470963356e-09,2.153367148466163e-09,0.005701638,0.002791404,0.001121733,0.006678643,7.762597e-14
582,124.49096352740266,239.6577986434803,239.65779864295916,184.95896747785991,104.80352499042758,0.0002472,-1.5352,0.0003318,8.341344469117093e-09,-4.968607609373676e-09,-1.8966580064459884e-08,-4.968607609373676e-09,9.038383515972034e-08,6.064178169074942e-08,-1.8966580064459884e-08,6.064178169074942e-08,6.721432410018168e-08,0.005700617,0.005094166,0.002807307,0.02797283,8.802498e-14
583,124.49096352747854,225.00466411962762,225.00466411962702,167.08820986409026,72.17922745212931,8.257e-06,-1.501,9.769e-06,2.497251244720535e-07,-1.4875133838405873e-07,-5.678259164266057e-07,-1.4875133838405873e-07,2.7059324272111977e-06,1.8155078641096344e-06,-5.678259164266057e-07,1.8155078641096344e-06,2.012278178220287e-06,0.005700323,0.005272667,0.003321394,0.3910646,5.369389e-11
584,124.49096352529371,320.1497085714936,320.1497084938232,234.22030988918635,84.98512371933006,0.002611,-3.1487,0.006254,7.897282086425683e-10,-4.704097284707671e-10,-1.7956869367807291e-09,-4.704097284707671e-10,8.557213347944413e-09,5.741343712735831e-09,-1.7956869367807291e-09,5.741343712735831e-09,6.363608164521224e-09,0.005701787,0.2060487,0.1628403,5.927564,6.438118e-16
585,124.49096352588998,305.83394588015307,305.83394565745425,218.3157380030673,42.29799678619401,0.004488000000000001,-3.0321,0.00981,4.594430376037758e-10,-2.736719699280688e-10,-1.0446832869729244e-09,-2.736719699280688e-10,4.978360974038071e-09,3.3401623070305824e-09,-1.0446832869729244e-09,3.3401623070305824e-09,3.702179348833537e-09,0.07642226,0.2772731,0.2383849,7.323066,1.06303e-16
586,124.4909635274785,225.36760165719312,225.36760165719258,171.5162312340005,89.69436591400307,7.885e-06,-1.4127,9.359e-06,2.615067029506335e-07,-1.5576915675804351e-07,-5.94614913371526e-07,-1.5576915675804351e-07,2.833593411728961e-06,1.9011602325876042e-06,-5.94614913371526e-07,1.9011602325876042e-06,2.1072138132612444e-06,0.005700323,0.004217587,0.002268979,0.006877636,7.319395e-11
587,124.49096352029345,278.7709396445959,278.77093946317683,205.39551826458504,81.61740685508312,0.004236,-2.3482,0.007693000000000002,4.867753429569748e-10,-2.8995273867733073e-10,-1.1068315844982257e-09,-2.8995273867733073e-10,5.274524091473763e-09,3.5388688465423166e-09,-1.1068315844982257e-09,3.5388688465423166e-09,3.922422312928449e-09,0.005704272,0.03893048,0.01757419,2.597565,1.436339e-15
588,124.49096352747715,206.97283044998105,206.9728304499756,163.65469056667794,103.57588012889187,2.762e-05,-1.0612,2.7650000000000005e-05,7.465533500238036e-08,-4.446921799555297e-08,-1.6975157827423912e-07,-4.446921799555297e-08,8.089385970848249e-07,5.427461417072143e-07,-1.6975157827423912e-07,5.427461417072143e-07,6.015706342347904e-07,0.005701365,0.002015129,0.0006887545,0.003297558,6.890327e-12
589,124.49096352693036,227.5786255565817,227.5786255524281,174.5890071253216,95.76331243539371,0.0007098,-1.4086,0.0008591000000000001,2.90501599431635e-09,-1.7304026500946362e-09,-6.605436167842327e-09,-1.7304026500946362e-09,3.147771773947994e-08,2.111953850937342e-08,-6.605436167842327e-09,2.111953850937342e-08,2.3408538908939008e-08,0.005701637,0.004130287,0.00213226,0.02124181,9.932302e-15
590,124.49096352747836,302.8854004042164,302.88540040421435,231.40423111521028,123.92042034314336,1.3900000000000002e-05,-2.5244,2.98e-05,1.4834391027091686e-07,-8.836257561418509e-08,-3.373049346715455e-07,-8.836257561418509e-08,1.6074017303225076e-06,1.0784639161117451e-06,-3.373049346715455e-07,1.0784639161117451e-06,1.1953511451485545e-06,0.005700414,0.04496619,0.0168589,1.552384,3.255904e-11
591,124.49096352746562,159.5997520671904,159.5997520671904,143.19647397861175,124.65303630440195,3.758e-05,-0.3283,2.237e-05,5.486908868455949e-08,-3.2683336908918925e-08,-1.247615378375328e-07,-3.2683336908918925e-08,5.945418853507946e-07,3.988996390088678e-07,-1.247615378375328e-07,3.988996390088678e-07,4.4213360610869906e-07,0.005700526,5.246804e-05,9.129261e-06,2.481823e-05,4.601438e-12
592,124.4909635271987,265.631288394955,265.63128839295024,204.8712351055105,115.69124674495241,0.0004643,-1.8896,0.0007656000000000001,4.4410518043630095e-09,-2.6453581758285007e-09,-1.0098080103240326e-08,-2.6453581758285007e-09,4.812165421383343e-08,3.228655704060576e-08,-1.0098080103240326e-08,3.228655704060576e-08,3.578587318019581e-08,0.005700278,0.01842321,0.005766934,0.2392609,3.714453e-14
593,124.49096351824144,140.97877236408894,140.97877236872338,130.34536415575062,118.76368829195069,0.0007204000000000001,-0.1907,0.0003346,2.862271450257837e-09,-1.7049414228722555e-09,-6.508243464650864e-09,-1.7049414228722555e-09,3.1014553097560874e-08,2.0808784611262152e-08,-6.508243464650864e-09,2.0808784611262152e-08,2.3064104549645904e-08,0.005700933,8.559532e-06,3.96112e-06,1.591498e-05,9.618404e-14
594,124.49096352747856,291.9761913435757,291.9761913435757,224.12948447605083,123.36107697122429,3.6039999999999997e-07,-2.3145,7.179999999999998e-07,5.721366128650792e-06,-3.4079905689155743e-06,-1.3009263573625094e-05,-3.4079905689155743e-06,6.19946838276439e-05,4.1594474012078946e-05,-1.3009263573625094e-05,4.1594474012078946e-05,4.610261075905914e-05,0.005700415,0.03493633,0.01177944,0.9734858,4.820139e-08
595,124.49096352747856,243.69393311736957,243.69393311736957,189.66972752185055,112.08246088578278,3.285e-07,-1.5475,4.559000000000001e-07,6.2769569338378856e-06,-3.7389339453186395e-06,-1.4272568011977116e-05,-3.7389339453186395e-06,6.80148677366297e-05,4.563363298007079e-05,-1.4272568011977116e-05,4.563363298007079e-05,5.057954617219151e-05,0.005700415,0.005136481,0.002767848,0.01957281,5.27084e-08
596,124.49096352741944,140.8932044841201,140.89320448414205,125.64128608781652,108.26158353635479,6.676e-05,-0.2687,3.097e-05,3.0886464241548013e-08,-1.839784003950229e-08,-7.022975721891076e-08,-1.839784003950229e-08,3.3467471616960546e-07,2.2454536300109725e-07,-7.022975721891076e-08,2.2454536300109725e-07,2.488822785734708e-07,0.005701245,1.159761e-05,7.01602e-06,2.156587e-05,1.242707e-12
597,124.49096352747856,191.1783459053574,191.1783459053574,162.21711205390287,126.80545312843796,9.33e-08,-0.6765,7.969000000000001e-08,2.210053968666393e-05,-1.3164413730301962e-05,-5.025228930262041e-05,-1.3164413730301962e-05,0.00023947356968363198,0.00016067147303272514,-5.025228930262041e-05,0.00016067147303272514,0.00017808554038118877,0.005701132,0.0009331314,9.653338e-05,0.0002459663,7.393152e-07
598,124.49096352747856,397.27856961403745,397.27856961403745,287.6596264243136,87.5548940640994,1.6429999999999998e-07,-4.9628,6.060000000000001e-07,1.255009344349206e-05,-7.475592215685778e-06,-2.853644912924213e-05,-7.475592215685778e-06,0.00013598833871870274,9.123949138133448e-05,-2.853644912924213e-05,9.123949138133448e-05,0.00010112830747148456,0.005701787,2.775807,2.679284,16.62374,1.645522e-07
599,124.49096352735569,287.4923243012832,287.4923243004099,221.8518862480485,125.63710571201382,0.0002964,-2.2099,0.0005725,6.9567488284944175e-09,-4.143858977858208e-09,-1.5818281349306627e-08,-4.143858977858208e-09,7.538085037612301e-08,5.057573695665741e-08,-1.5818281349306627e-08,5.057573695665741e-08,5.605729054509079e-08,0.005700277,0.03059004,0.009691912,0.6534529,1.012644e-13
600,124.49096352747844,197.97336958474426,197.97336958474358,154.80993690567016,93.481431657509,9.396e-06,-1.0065,8.606e-06,2.1945299625007926e-07,-1.307194339120022e-07,-4.989930387329165e-07,-1.307194339120022e-07,2.377914437152284e-06,1.5954287392457698e-06,-4.989930387329165e-07,1.5954287392457698e-06,1.7683462023802585e-06,0.005700414,0.001725164,0.0006636828,0.003498635,5.372514e-11
601,124.49096352747856,201.99344636815516,201.99344636815516,165.26444256307767,117.57261405482485,8.064e-07,-0.8916,7.689e-07,2.557019286663871e-06,-1.523114832635383e-06,-5.8141599602362135e-06,-1.523114832635383e-06,2.770694946860473e-05,1.8589593792104727e-05,-5.8141599602362135e-06,1.8589593792104727e-05,2.0604391018805687e-05,0.005701771,0.001467012,0.000301733,0.001018846,9.175522e-09
602,124.49095979703259,130.08222004178018,130.08222317227762,124.96299944746643,119.62490756473332,0.008158,-0.0863,0.003226,2.5275562058908365e-10,-1.5055648455959462e-10,-5.74716669763972e-10,-1.5055648455959462e-10,2.7387698028294755e-09,1.8375396462310925e-09,-5.74716669763972e-10,1.8375396462310925e-09,2.0366978325036663e-09,0.005701845,5.204718e-06,3.082785e-06,1.464208e-05,1.80379e-12
603,124.49096352747856,291.47359275846384,291.47359275846384,222.0651509704456,116.91452978790448,2.804e-07,-2.356,5.566999999999999e-07,7.353710245241603e-06,-4.380313127807322e-06,-1.672089369448817e-05,-4.380313127807322e-06,7.968218277989608e-05,5.346165632650946e-05,-1.672089369448817e-05,5.346165632650946e-05,5.925599471314162e-05,0.005700415,0.03704738,0.01331504,1.293348,7.546407e-08
604,124.49096352747856,146.25026385143317,146.25026385143312,129.9548466838148,111.29862836807024,9.879e-08,-0.2975,4.9379999999999996e-08,2.0872359072433905e-05,-1.2432835317716092e-05,-4.7459647655982224e-05,-1.2432835317716092e-05,0.00022616544236747505,0.00015174256942963106,-4.7459647655982224e-05,0.00015174256942963106,0.00016818889480276256,0.005700992,1.654018e-05,9.326289e-06,2.535538e-05,5.787274e-07
605,124.49096352744196,140.140490545463,140.14049054531566,103.08006058543938,40.14524492756066,0.00016299999999999998,-0.5958,7.481e-05,1.265018621328678e-08,-7.535213503295538e-09,-2.8764040441315847e-08,-7.535213503295538e-09,1.370729082913059e-07,9.196716830646167e-08,-2.8764040441315847e-08,9.196716830646167e-08,1.0193485225499944e-07,0.07938326,0.0003332447,0.0002722701,0.002494441,7.646281e-14
606,124.49096352747856,142.50699072957647,142.50699072957644,109.53484699765457,60.72497844215007,1.397e-07,-0.5493,6.63e-08,1.4760059790735474e-05,-8.791981396114337e-06,-3.356147882558685e-05,-8.791981396114337e-06,0.00015993474625256165,0.00010730600167468328,-3.356147882558685e-05,0.00010730600167468328,0.00011893615545858921,0.02689799,0.0001989276,0.0001582397,0.0008499822,1.577456e-07
607,124.4909635274435,390.5084532395128,390.50845323865127,288.365381852692,117.52589013015928,0.0002526,-4.5834,0.0009002000000000002,8.163025941273735e-09,-4.8623903445652144e-09,-1.856111873291561e-08,-4.8623903445652144e-09,8.845163915868117e-08,5.934540155959325e-08,-1.856111873291561e-08,5.934540155959325e-08,6.577743831181675e-08,0.005701446,1.733159,1.649865,11.73105,9.701239e-14
608,124.49096352747856,269.3466046304895,269.3466046304895,194.22190485620618,53.821029588565175,1.7760000000000006e-07,-2.3019,3.011e-07,1.1610249734041358e-05,-6.915764645479578e-06,-2.6399429008640105e-05,-6.915764645479578e-06,0.000125804527316908,8.440680424523228e-05,-2.6399429008640105e-05,8.440680424523228e-05,9.355507273403666e-05,0.05403326,0.04391117,0.02578063,3.486491,8.647292e-08
609,124.49096352624012,206.9024904671177,206.90249045981201,160.05485890646838,91.79583410450249,0.0009856,-1.1363,0.000986,2.0921066890886216e-09,-1.2461848630653133e-09,-4.7570399674659934e-09,-1.2461848630653133e-09,2.2669322292494783e-08,1.5209667648085685e-08,-4.7570399674659934e-09,1.5209667648085685e-08,1.6858138106295566e-08,0.005701637,0.00236886,0.001022371,0.006638002,4.963123e-15
610,124.49096352747856,201.44192803344157,201.44192803344157,168.16353162868063,126.4084505475416,8.839e-07,-0.813,8.381999999999998e-07,2.3328208539040002e-06,-1.389568730667692e-06,-5.304376730325243e-06,-1.389568730667692e-06,2.527761517307712e-05,1.6959665611441626e-05,-5.304376730325243e-06,1.6959665611441626e-05,1.879780621966841e-05,0.005701002,0.001334926,0.0001877983,0.0005369151,8.211516e-09
611,124.49096352747848,236.44467609384463,236.4446760938444,188.10125851020518,121.89373262445852,6.1080000000000015e-06,-1.3566,7.98e-06,3.375868292019885e-07,-2.0108706631256927e-07,-7.676061872846241e-07,-2.0108706631256927e-07,3.657970538880626e-06,2.454264642101057e-06,-7.676061872846241e-07,2.454264642101057e-06,2.7202653761566653e-06,0.005700414,0.003736202,0.001553525,0.006306977,1.65815e-10
612,124.49096352747856,219.40720281897185,219.40720281897185,175.18916903977097,115.07810064840945,8.073000000000002e-07,-1.1533,9.081999999999999e-07,2.5541686520076117e-06,-1.521416822788521e-06,-5.8076781765570215e-06,-1.521416822788521e-06,2.767606100765869e-05,1.8568869607275186e-05,-5.8076781765570215e-06,1.8568869607275186e-05,2.058142068322174e-05,0.005701771,0.002540537,0.0007999682,0.00344547,8.960798e-09
613,124.4909635274513,213.95668768020943,213.9566876801527,175.7785331121793,126.56508682516859,9.257e-05,-0.9835,9.903e-05,2.227482286664951e-08,-1.3268227298662341e-08,-5.064857504520345e-08,-1.3268227298662341e-08,2.4136204009379776e-07,1.6193851608461973e-07,-5.064857504520345e-08,1.6193851608461973e-07,1.7948990944760626e-07,0.005701987,0.001932368,0.0003742996,0.001238877,8.186865e-13
614,124.49096349880085,238.83585092039468,238.83585082757526,191.75033443196807,128.4282595179677,0.003432,-1.3401,0.004575,6.008101260972452e-10,-3.5787872990593616e-10,-1.3661242983492086e-09,-3.5787872990593616e-10,6.510164350665169e-09,4.367904555347685e-09,-1.3661242983492086e-09,4.367904555347685e-09,4.841311456166932e-09,0.005700279,0.003681736,0.001453562,0.004971358,9.032824e-13
615,124.4909635274486,187.47992251827816,187.47992251824127,157.4528753228998,120.14197662534158,8.533e-05,-0.6846,7.009e-05,2.416477619554372e-08,-1.4393997433929133e-08,-5.4945957950714674e-08,-1.4393997433929133e-08,2.618409006384961e-07,1.7567852377772475e-07,-5.4945957950714674e-08,1.7567852377772475e-07,1.9471910134261e-07,0.005701365,0.0008337685,0.0001115771,0.0003067939,8.777251e-13
